match_date,tournament,tournament_level,round,best_of,winner_name,loser_name,winner_hand,loser_hand,winner_rank,loser_rank,w_games_won,l_games_won,w_points_won,l_points_won,w_deuce_games_won,w_deuce_games_played,l_deuce_games_won,l_deuce_games_played,w_first_game_won,winner_won_from_down
2021-01-09,Open Series,OT,F,5,Chen-Yu TPE23,Anna BRA04,R,R,8,37,3,0,33,17,0,0,0,0,1,0
2021-01-09,Open Series,OT,SF,5,Felix FRA39,Lukas USA13,R,R,59,55,4,3,55,32,0,0,0,0,1,0
2021-01-09,Open Series,OT,R32,5,Saki HKG33,Felix GER26,R,R,51,52,4,3,44,28,0,0,0,0,0,1
2021-01-09,Open Series,OT,QF,5,Wei GER00,Saki HKG33,L,R,21,51,3,0,33,11,0,0,0,0,1,0
2021-01-09,Open Series,OT,QF,5,Maria PRT09,Anna BRA04,L,R,48,37,4,3,32,44,0,0,0,0,0,1
2021-01-09,Open Series,OT,R32,5,Lukas ROU07,Min USA54,L,R,14,60,3,0,33,5,0,0,0,0,1,0
2021-01-09,Open Series,OT,SF,5,Andrei JPN19,Yuki GER51,R,R,3,19,3,0,16,33,0,0,0,0,1,0
2021-01-09,Open Series,OT,R16,5,Saki JPN55,Andrei KOR43,R,L,10,41,3,1,26,45,1,1,0,1,1,0
2021-01-09,Open Series,OT,R32,5,Ho-Yan PRT59,Min ESP10,R,R,24,58,3,0,16,33,0,0,0,0,1,0
2021-01-09,Open Series,OT,R64,5,Chen-Yu TPE23,Felix BRA34,R,R,8,35,3,0,14,33,0,0,0,0,1,0
2021-01-09,Open Series,OT,QF,5,Saki PRT14,Petar ESP24,R,R,20,11,3,1,44,27,0,0,0,0,1,0
2021-01-09,Open Series,OT,F,5,Saki JPN55,Min ESP10,R,R,10,58,3,0,33,11,0,0,0,0,1,0
2021-01-09,Open Series,OT,F,5,Maria PRT09,Felix GER26,L,R,48,52,4,3,28,44,0,0,0,0,0,1
2021-01-09,Open Series,OT,F,5,Ji-Hee GER01,Anna SWE06,R,R,39,36,4,3,43,64,0,2,2,2,1,0
2021-01-09,Open Series,OT,QF,5,Wei AUT36,Felix PRT22,R,R,9,29,3,0,33,15,0,0,0,0,1,0
2021-01-09,Open Series,OT,R32,5,Ji-Hee GER29,Lukas ROU07,R,L,4,14,3,1,17,44,0,0,0,0,0,1
2021-01-15,WTT Champions,CH,QF,7,Sun USA44,Lukas ROU07,R,L,23,14,5,4,46,21,0,1,1,1,0,1
2021-01-15,WTT Champions,CH,F,7,Pamela KOR25,Andrei JPN19,L,R,1,3,4,1,29,55,0,0,0,0,1,0
2021-01-15,WTT Champions,CH,QF,7,Andrei KOR43,Anna BRA04,L,R,41,37,4,1,35,56,1,1,0,1,1,0
2021-01-15,WTT Champions,CH,QF,7,Wei GER00,Daniel KOR27,L,R,21,53,4,0,44,21,0,0,0,0,1,0
2021-01-15,WTT Champions,CH,SF,7,Chen-Yu TPE23,Wei AUT36,R,R,8,9,4,1,57,31,1,2,1,2,0,1
2021-01-15,WTT Champions,CH,R64,7,Mima KOR16,Min ROU46,R,R,46,45,5,4,48,67,0,1,1,1,1,0
2021-01-15,WTT Champions,CH,R64,7,Aarush PRT28,Sun USA44,R,R,28,23,4,0,44,29,0,0,0,0,1,0
2021-01-15,WTT Champions,CH,R16,7,Yuki GER51,Daniel KOR27,R,R,19,53,4,0,24,44,0,0,0,0,1,0
2021-01-16,WTT Champions,CH,QF,7,Wei AUT36,Chen-Yu FRA47,R,R,9,30,4,1,56,34,1,1,0,1,1,0
2021-01-16,WTT Champions,CH,QF,7,Pamela TPE30,Sun USA44,R,R,33,23,5,4,45,31,0,1,1,1,0,1
2021-01-16,WTT Champions,CH,R32,7,Ji-Hee GER29,Yuki ESP58,R,R,4,25,4,0,44,18,0,0,0,0,1,0
2021-01-16,WTT Champions,CH,QF,7,Andrei JPN19,Ethan AUT48,R,L,3,16,4,1,55,17,0,0,0,0,1,0
2021-01-16,WTT Champions,CH,R32,7,Andrei JPN19,Sun USA44,R,R,3,23,4,0,44,10,0,0,0,0,1,0
2021-01-16,WTT Champions,CH,SF,7,Anna TPE15,Felix FRA39,R,R,38,59,4,0,19,44,0,0,0,0,1,0
2021-01-16,WTT Champions,CH,R16,7,Anna BRA41,Andrei KOR43,R,L,32,41,4,2,66,50,0,0,0,0,1,0
2021-01-16,WTT Champions,CH,R32,7,Mima IND03,Chen-Yu FRA47,L,R,18,30,4,1,55,33,0,0,0,0,0,1
2021-01-17,WTT Champions,CH,F,7,Felix BRA34,Lukas ROU07,R,L,35,14,5,4,44,20,0,0,0,0,0,1
2021-01-17,WTT Champions,CH,F,7,Min KOR38,Anna BRA04,R,R,31,37,4,0,23,44,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,F,7,Wei PRT31,Felix GER26,R,R,34,52,4,0,25,45,1,1,0,1,1,0
2021-01-17,WTT Champions,CH,R64,7,Min KOR38,Felix FRA39,R,R,31,59,4,0,22,44,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,F,7,Anna BRA04,Daniel KOR27,R,R,37,53,4,1,55,36,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,QF,7,Felix PRT22,Wei PRT31,R,R,29,34,5,4,39,66,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,QF,7,Wei GER00,Daniel PRT17,L,R,21,50,4,0,12,44,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,R32,7,Aarush TPE32,Mima KOR16,L,R,22,46,4,0,26,44,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,QF,7,Min USA45,Anna BRA04,R,R,17,37,4,0,19,44,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,F,7,Min CHN56,Yuki KOR12,L,R,2,49,4,0,13,44,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,R32,7,Min KOR38,Wei TPE05,R,R,31,44,4,0,48,35,1,1,0,1,1,0
2021-01-17,WTT Champions,CH,SF,7,Ho-Yan PRT59,Ji-Hee GER49,R,R,24,57,4,0,14,44,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,QF,7,Joao KOR20,Mima IND03,R,L,5,18,4,0,44,18,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,R32,7,Chen-Yu TPE23,Yuki KOR12,R,R,8,49,4,0,44,21,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,R16,7,Sun SVK11,Pamela TPE30,L,R,40,33,5,4,44,28,0,0,0,0,0,1
2021-01-17,WTT Champions,CH,R16,7,Joao KOR20,Andrei KOR43,R,L,5,41,4,0,15,44,0,0,0,0,1,0
2021-01-17,WTT Champions,CH,SF,7,Wei IND35,Min USA54,R,R,15,60,4,0,44,19,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,SF,7,Lukas ROU52,Daniel KOR27,R,R,27,53,4,0,44,20,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,SF,7,Mima IND03,Ji-Hee GER49,L,R,18,57,4,0,15,44,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,SF,7,Saki JPN55,Ethan HKG37,R,L,10,13,4,1,40,55,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,R64,7,Ho-Yan PRT59,Pawel POL50,R,R,24,56,4,0,16,44,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,SF,7,Chen-Yu FRA47,David AUT57,R,R,30,47,4,0,21,44,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,R64,7,Petar GER08,Wei GER00,R,L,6,21,4,3,79,49,1,1,0,1,1,0
2021-01-18,WTT Champions,CH,R16,7,Min USA45,Wei PRT31,R,R,17,34,4,0,24,44,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,R32,7,Wei PRT31,Felix FRA39,R,R,34,59,4,0,17,44,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,R16,7,Yuki ESP58,Daniel KOR27,R,R,25,53,4,0,44,27,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,QF,7,Anders POL53,Felix FRA39,R,R,12,59,4,0,20,44,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,R32,7,Lukas ROU52,Mima KOR16,R,R,27,46,4,1,55,40,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,R64,7,Felix PRT22,Felix FRA39,R,R,29,59,4,0,13,44,0,0,0,0,1,0
2021-01-18,WTT Champions,CH,F,7,Maria PRT09,Anna BRA04,L,R,48,37,4,3,78,61,0,1,1,1,0,1
2021-01-18,WTT Champions,CH,F,7,Sun KOR02,Saki JPN55,R,R,26,10,5,4,27,57,1,1,0,1,0,1
2021-01-18,WTT Champions,CH,R64,7,Saki JPN55,Ho-Yan PRT59,R,R,10,24,4,0,44,22,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,R64,7,Joao KOR20,Min USA54,R,R,5,60,4,0,24,48,1,1,0,1,1,0
2021-01-19,WTT Champions,CH,QF,7,Andrei JPN19,Yuki ESP58,R,R,3,25,4,0,44,23,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,R16,7,Ji-Hee GER49,Pawel POL50,R,R,57,56,5,4,35,55,0,0,0,0,0,1
2021-01-19,WTT Champions,CH,QF,7,Chen-Yu TPE23,Anna BRA41,R,R,8,32,4,1,26,55,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,SF,7,Pamela KOR25,Diogo SVK42,L,R,1,7,4,0,16,44,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,F,7,Ethan AUT48,Felix FRA39,L,R,16,59,4,0,22,45,1,1,0,1,1,0
2021-01-19,WTT Champions,CH,QF,7,Pawel POL50,Yuki KOR12,R,R,56,49,5,4,44,18,0,0,0,0,0,1
2021-01-19,WTT Champions,CH,R16,7,Wei PRT31,Anna TPE15,R,R,34,38,4,2,43,66,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,QF,7,Saki JPN55,Mima KOR16,R,R,10,46,4,0,44,6,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,QF,7,Saki PRT14,Petar ESP24,R,R,20,11,4,2,66,38,0,0,0,0,0,1
2021-01-19,WTT Champions,CH,R16,7,Saki BRA21,Ji-Hee GER49,R,R,42,57,4,0,27,44,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,F,7,David AUT57,Sun SVK11,R,L,47,40,5,4,27,55,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,SF,7,Ji-Hee USA18,Sun USA44,L,R,43,23,4,3,55,80,1,2,1,2,1,0
2021-01-19,WTT Champions,CH,R16,7,Wei IND35,Anna BRA04,R,R,15,37,4,0,23,44,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,R64,7,Chen-Yu TPE23,Anders POL53,R,R,8,12,4,1,21,55,0,0,0,0,1,0
2021-01-19,WTT Champions,CH,R16,7,Diogo SVK42,Lukas USA13,R,R,7,55,4,0,14,44,0,0,0,0,1,0
2021-01-20,WTT Champions,CH,R64,7,Petar ESP24,Anna TPE15,R,R,11,38,4,1,55,27,0,0,0,0,0,1
2021-01-20,WTT Champions,CH,SF,7,Chen-Yu FRA47,Aarush PRT28,R,R,30,28,4,3,56,81,0,1,1,1,0,1
2021-01-20,WTT Champions,CH,SF,7,Min CHN56,Ji-Hee USA18,L,L,2,43,4,0,45,16,1,1,0,1,1,0
2021-01-20,WTT Champions,CH,QF,7,Chen-Yu TPE23,Saki HKG33,R,R,8,51,4,0,44,12,0,0,0,0,1,0
2021-01-20,WTT Champions,CH,QF,7,Min ESP10,Saki HKG33,R,R,58,51,5,4,24,55,0,0,0,0,0,1
2021-01-20,WTT Champions,CH,R16,7,Min USA54,Ji-Hee GER49,R,R,60,57,4,2,49,72,1,2,1,2,0,1
2021-01-20,WTT Champions,CH,R64,7,Lukas ROU52,Daniel PRT17,R,R,27,50,4,0,28,44,0,0,0,0,1,0
2021-01-20,WTT Champions,CH,QF,7,Daniel KOR27,Pawel POL50,R,R,53,56,4,2,68,38,0,1,1,1,1,0
2021-01-20,WTT Champions,CH,SF,7,Anders POL53,Maria PRT09,R,L,12,48,4,0,47,27,1,1,0,1,1,0
2021-01-20,WTT Champions,CH,R64,7,Aarush TPE32,Daniel KOR27,L,R,22,53,4,0,44,19,0,0,0,0,1,0
2021-01-20,WTT Champions,CH,R32,7,Lukas ROU07,Lukas USA13,L,R,14,55,4,0,44,21,0,0,0,0,1,0
2021-01-20,WTT Champions,CH,SF,7,Wei TPE05,Felix BRA34,R,R,44,35,5,4,40,66,0,0,0,0,0,1
2021-01-20,WTT Champions,CH,R32,7,Aarush PRT28,Felix FRA39,R,R,28,59,4,0,13,44,0,0,0,0,1,0
2021-01-20,WTT Champions,CH,R32,7,Yuki KOR12,Felix BRA34,R,R,49,35,5,4,23,44,0,0,0,0,0,1
2021-01-20,WTT Champions,CH,QF,7,Pawel POL50,Min ROU46,R,R,56,45,5,4,30,57,1,1,0,1,0,1
2021-01-20,WTT Champions,CH,R64,7,Saki JPN55,Anna BRA41,R,R,10,32,4,1,55,23,0,0,0,0,0,1
2021-01-21,WTT Champions,CH,R16,7,Anders POL53,Wei GER00,R,L,12,21,4,1,25,55,0,0,0,0,1,0
2021-01-21,WTT Champions,CH,R32,7,Lukas ROU07,Wei TPE05,L,R,14,44,4,0,16,44,0,0,0,0,1,0
2021-01-21,WTT Champions,CH,QF,7,Ji-Hee GER29,Chen-Yu TPE23,R,R,4,8,4,2,72,48,1,1,0,1,0,1
2021-01-21,WTT Champions,CH,R16,7,Anders POL53,Wen-Lin SWE40,R,R,12,54,4,0,24,44,0,0,0,0,1,0
2021-01-21,WTT Champions,CH,SF,7,Wen-Lin SWE40,Aarush PRT28,R,R,54,28,5,4,55,21,0,0,0,0,1,0
2021-01-21,WTT Champions,CH,SF,7,Felix PRT22,Felix GER26,R,R,29,52,4,1,55,24,0,0,0,0,1,0
2021-01-21,WTT Champions,CH,SF,7,Aarush PRT28,Ji-Hee USA18,R,L,28,43,4,3,48,77,0,0,0,0,1,0
2021-01-21,WTT Champions,CH,R16,7,Anna BRA04,Felix BRA34,R,R,37,35,5,4,34,57,0,1,1,1,1,0
